sno,date,state,country,lat,lon,value,deaths,recovered
365,3/3/20,,Angola,-11.2027,17.8739,0,0,0
366,3/4/20,,Angola,-11.2027,17.8739,0,0,0
367,3/5/20,,Angola,-11.2027,17.8739,0,0,0
368,3/6/20,,Angola,-11.2027,17.8739,0,0,0
369,3/7/20,,Angola,-11.2027,17.8739,0,0,0
370,3/8/20,,Angola,-11.2027,17.8739,0,0,0
371,3/9/20,,Angola,-11.2027,17.8739,0,0,0
372,3/10/20,,Angola,-11.2027,17.8739,0,0,0
373,3/11/20,,Angola,-11.2027,17.8739,0,0,0
374,3/12/20,,Angola,-11.2027,17.8739,0,0,0
375,3/13/20,,Angola,-11.2027,17.8739,0,0,0
376,3/14/20,,Angola,-11.2027,17.8739,0,0,0
377,3/15/20,,Angola,-11.2027,17.8739,0,0,0
378,3/16/20,,Angola,-11.2027,17.8739,0,0,0
379,3/17/20,,Angola,-11.2027,17.8739,0,0,0
380,3/18/20,,Angola,-11.2027,17.8739,0,0,0
381,3/19/20,,Angola,-11.2027,17.8739,0,0,0
382,3/20/20,,Angola,-11.2027,17.8739,1,0,0
383,3/21/20,,Angola,-11.2027,17.8739,2,0,0
384,3/22/20,,Angola,-11.2027,17.8739,2,0,0
385,3/23/20,,Angola,-11.2027,17.8739,3,0,0
386,3/24/20,,Angola,-11.2027,17.8739,3,0,0
387,3/25/20,,Angola,-11.2027,17.8739,3,0,0
388,3/26/20,,Angola,-11.2027,17.8739,4,0,0
389,3/27/20,,Angola,-11.2027,17.8739,4,0,0
390,3/28/20,,Angola,-11.2027,17.8739,5,0,0
391,3/29/20,,Angola,-11.2027,17.8739,7,2,0
392,3/30/20,,Angola,-11.2027,17.8739,7,2,0
393,3/31/20,,Angola,-11.2027,17.8739,7,2,1
394,4/1/20,,Angola,-11.2027,17.8739,8,2,1
395,4/2/20,,Angola,-11.2027,17.8739,8,2,1
396,4/3/20,,Angola,-11.2027,17.8739,8,2,1
397,4/4/20,,Angola,-11.2027,17.8739,10,2,2
398,4/5/20,,Angola,-11.2027,17.8739,14,2,2
399,4/6/20,,Angola,-11.2027,17.8739,16,2,2
400,4/7/20,,Angola,-11.2027,17.8739,17,2,2
401,4/8/20,,Angola,-11.2027,17.8739,19,2,2
402,4/9/20,,Angola,-11.2027,17.8739,19,2,2
403,4/10/20,,Angola,-11.2027,17.8739,19,2,2
404,4/11/20,,Angola,-11.2027,17.8739,19,2,4
405,1/22/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
406,1/23/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
